batting_team,bowling_team,venue,overs,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,total_score
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi International Stadium,10.4,121,2,32,0,222
Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,13.7,136,0,68,0,181
Delhi Capitals,Sunrisers Hyderabad,M Chinnaswamy Stadium,7.7,54,2,52,0,141
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,10.3,84,2,51,0,171
Chennai Super Kings,Gujarat Titans,Feroz Shah Kotla,7.5,40,4,55,1,129
Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,5.5,62,2,48,1,225
Chennai Super Kings,Sunrisers Hyderabad,Feroz Shah Kotla,16.2,187,3,33,0,212
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,10.6,73,3,31,1,172
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,16.2,103,0,61,0,135
Gujarat Titans,Rajasthan Royals,MA Chidambaram Stadium,6.7,73,2,38,0,202
Lucknow Super Giants,Gujarat Titans,Feroz Shah Kotla,14.2,159,1,57,1,210
Mumbai Indians,Delhi Capitals,M Chinnaswamy Stadium,12.6,100,0,29,0,177
Punjab Kings,Delhi Capitals,MA Chidambaram Stadium,9.6,82,3,35,0,150
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,7.3,84,4,65,3,149
Rajasthan Royals,Sunrisers Hyderabad,M Chinnaswamy Stadium,8.3,66,2,47,1,136
Punjab Kings,Delhi Capitals,Narendra Modi Stadium,9.9,114,3,68,1,192
Lucknow Super Giants,Punjab Kings,Arun Jaitley Stadium,9.4,65,0,52,0,149
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,18.2,121,1,69,0,139
Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,16.0,106,4,29,1,128
Kolkata Knight Riders,Delhi Capitals,Punjab Cricket Association Stadium,5.6,51,1,48,0,193
Lucknow Super Giants,Royal Challengers Bangalore,MA Chidambaram Stadium,7.5,73,2,40,0,210
Gujarat Titans,Punjab Kings,MA Chidambaram Stadium,17.7,120,4,29,3,134
